,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
0,0.56,0.166,-16.252,0.0463,0.982,0.91,0.184,172.076
1,0.698,0.22699999999999998,-16.067999999999998,0.0529,0.439,0.563,0.0643,82.94200000000001
2,0.645,0.506,-11.213,0.0433,0.59,0.7959999999999999,0.33299999999999996,84.993
3,0.732,0.307,-11.780999999999999,0.20800000000000002,0.259,0.895,0.316,170.048
4,0.519,0.233,-10.873,0.0435,0.8759999999999999,0.708,0.187,118.92299999999999
5,0.675,0.306,-10.582,0.098,0.268,0.9009999999999999,0.46,159.953
6,0.637,0.377,-11.37,0.0406,0.573,0.8140000000000001,0.0923,69.986
7,0.6579999999999999,0.401,-12.214,0.157,0.8809999999999999,0.675,0.512,80.0
8,0.66,0.392,-11.172,0.0639,0.396,0.792,0.159,158.023
9,0.8140000000000001,0.376,-16.785,0.0694,0.823,0.733,0.8290000000000001,127.988
10,0.6459999999999999,0.321,-12.868,0.0784,0.7959999999999999,0.54,0.299,179.861
11,0.669,0.0289,-20.939,0.0467,0.8290000000000001,0.9440000000000001,0.128,120.103
12,0.748,0.426,-10.343,0.265,0.10300000000000001,0.782,0.442,165.979
13,0.603,0.319,-7.752000000000001,0.0597,0.193,0.0107,0.519,84.801
14,0.7609999999999999,0.29,-13.729000000000001,0.0359,0.475,0.557,0.517,80.016
15,0.7290000000000001,0.42,-9.439,0.209,0.765,0.515,0.449,160.11
16,0.723,0.386,-10.327,0.0431,0.124,0.897,0.256,148.009
17,0.664,0.198,-14.799000000000001,0.0448,0.846,0.956,0.18899999999999997,150.13299999999998
18,0.6709999999999999,0.435,-11.134,0.0453,0.852,0.515,0.0869,75.002
19,0.539,0.32,-12.432,0.153,0.9009999999999999,0.9229999999999999,0.5920000000000001,83.35600000000001
20,0.525,0.11,-19.123,0.0701,0.738,0.937,0.34600000000000003,107.99799999999999
21,0.402,0.2,-10.947000000000001,0.0853,0.759,0.9009999999999999,0.507,168.562
22,0.31,0.231,-17.73,0.043,0.47700000000000004,0.682,0.0757,83.304
23,0.622,0.45799999999999996,-11.642000000000001,0.0309,0.613,0.8859999999999999,0.33399999999999996,76.98
24,0.7490000000000001,0.248,-14.823,0.0522,0.612,0.8540000000000001,0.0905,90.025
25,0.7929999999999999,0.6459999999999999,-8.225,0.0463,0.387,0.7440000000000001,0.494,144.016
26,0.769,0.239,-10.052999999999999,0.0401,0.67,0.748,0.0702,115.006
27,0.763,0.304,-11.62,0.17800000000000002,0.418,0.914,0.221,90.98899999999999
28,0.613,0.366,-11.892999999999999,0.0381,0.988,0.741,0.146,144.061
29,0.631,0.282,-16.075,0.0958,0.711,0.868,0.24100000000000002,177.954
30,0.594,0.107,-18.680999999999997,0.0639,0.39299999999999996,0.7709999999999999,0.183,74.946
31,0.757,0.49,-8.783,0.0469,0.7759999999999999,0.8590000000000001,0.444,90.01
32,0.585,0.324,-13.138,0.0371,0.39799999999999996,0.718,0.2,174.092
33,0.63,0.713,-8.442,0.0334,0.722,0.6990000000000001,0.721,80.018
34,0.708,0.28,-10.864,0.0671,0.172,0.9209999999999999,0.312,69.98899999999999
35,0.6759999999999999,0.5670000000000001,-7.2989999999999995,0.0481,0.0161,0.475,0.215,84.993
36,0.664,0.295,-17.698,0.126,0.20600000000000002,0.8959999999999999,0.382,79.973
37,0.71,0.39,-8.869,0.0408,0.9359999999999999,0.843,0.0702,78.01100000000001
38,0.765,0.5670000000000001,-7.56,0.0475,0.24100000000000002,0.9329999999999999,0.441,151.942
39,0.72,0.366,-10.520999999999999,0.0537,0.12,0.866,0.358,90.993
40,0.514,0.573,-6.096,0.0663,0.28300000000000003,0.0307,0.273,79.766
41,0.669,0.478,-12.168,0.0397,0.595,0.889,0.252,136.053
42,0.688,0.446,-9.181000000000001,0.22899999999999998,0.687,0.733,0.0742,84.73
43,0.634,0.29600000000000004,-12.182,0.0902,0.889,0.9129999999999999,0.20800000000000002,73.029
44,0.877,0.37200000000000005,-13.491,0.0458,0.239,0.8390000000000001,0.529,105.01799999999999
45,0.478,0.276,-11.530999999999999,0.281,0.758,0.005520000000000001,0.196,183.399
46,0.81,0.281,-10.974,0.0895,0.565,0.7509999999999999,0.428,83.04299999999999
47,0.629,0.295,-16.77,0.0466,0.664,0.9229999999999999,0.331,129.939
48,0.622,0.28300000000000003,-16.352999999999998,0.0768,0.884,0.845,0.235,78.016
49,0.693,0.32899999999999996,-11.919,0.046,0.135,0.87,0.32899999999999996,89.98
50,0.703,0.413,-9.693999999999999,0.040999999999999995,0.484,0.9,0.39799999999999996,150.025
51,0.7440000000000001,0.6970000000000001,-5.667999999999999,0.0485,0.726,0.8340000000000001,0.601,88.01899999999999
52,0.63,0.365,-11.765,0.0485,0.614,0.846,0.11599999999999999,153.507
53,0.6679999999999999,0.33399999999999996,-11.202,0.0462,0.71,0.883,0.337,79.979
