,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,clusters
0,Kiddish,Refeeld,spotify:track:3aJGP2lJwgsCduog1jmGuE,0.56,0.166,-16.252,0.0463,0.982,0.91,0.184,172.076,2
1,Oxygen,Twotrees,spotify:track:1TQWP9HwvLp516cBWqtEyx,0.698,0.22699999999999998,-16.067999999999998,0.0529,0.439,0.563,0.0643,82.94200000000001,13
2,Overseas,Saï T,spotify:track:0FDlU2i5VMYhSNKy7WNYau,0.645,0.506,-11.213,0.0433,0.59,0.7959999999999999,0.33299999999999996,84.993,13
3,Grandma's Radio,Bequem,spotify:track:6QeOUYs8lkF3jIqhiuPkqc,0.732,0.307,-11.780999999999999,0.20800000000000002,0.259,0.895,0.316,170.048,2
4,Longing For,damaa.beats,spotify:track:5pRqyaTUGcdrwcvWualdHn,0.519,0.233,-10.873,0.0435,0.8759999999999999,0.708,0.187,118.92299999999999,2
5,Expedition,LostiFi,spotify:track:5az0lrIHg8WDWP547g1gNw,0.675,0.306,-10.582,0.098,0.268,0.9009999999999999,0.46,159.953,2
6,Moonflower,Shierro,spotify:track:1F5wcnZz4GRqWUm6dzrFnp,0.637,0.377,-11.37,0.0406,0.573,0.8140000000000001,0.0923,69.986,13
7,Foggy Day,Zmeyev,spotify:track:58OKPDQD0TnDb0Od3dbGHa,0.6579999999999999,0.401,-12.214,0.157,0.8809999999999999,0.675,0.512,80.0,13
8,Coast to Coast,Jay-Lounge,spotify:track:6nHVIXSGuHzknmQOuUsnj9,0.66,0.392,-11.172,0.0639,0.396,0.792,0.159,158.023,2
9,Marauders,Nogymx,spotify:track:5I34ZsFsE9zTkdHjTnRyYA,0.8140000000000001,0.376,-16.785,0.0694,0.823,0.733,0.8290000000000001,127.988,2
10,Mountain Café,l'Outlander,spotify:track:2OJdqZqdntPaA6QQgxDO7c,0.6459999999999999,0.321,-12.868,0.0784,0.7959999999999999,0.54,0.299,179.861,2
11,Evening Roses,Hoogway,spotify:track:5bBFLCMyiw4Q4TGl4t814p,0.669,0.0289,-20.939,0.0467,0.8290000000000001,0.9440000000000001,0.128,120.103,2
12,Just Chillin',Downtown Owl,spotify:track:7oxalydBrUM3znIiTM5P9R,0.748,0.426,-10.343,0.265,0.10300000000000001,0.782,0.442,165.979,6
13,opium poppy,Sátyr,spotify:track:4shSkWNpPgYetDVQosQugZ,0.603,0.319,-7.752000000000001,0.0597,0.193,0.0107,0.519,84.801,0
14,"With Her, Without Her",Last Memories,spotify:track:0yaBYaPzDqEvN0bYJzxnG8,0.7609999999999999,0.29,-13.729000000000001,0.0359,0.475,0.557,0.517,80.016,13
15,Warm Breeze,Screen Jazzmaster,spotify:track:5728OBye3peeIkv9qlps0H,0.7290000000000001,0.42,-9.439,0.209,0.765,0.515,0.449,160.11,2
16,Blame It on Me,RenBoz,spotify:track:5dPdFjWBCaIEdwzItjqNeW,0.723,0.386,-10.327,0.0431,0.124,0.897,0.256,148.009,11
17,Cosmic Web,Purrple Cat,spotify:track:7FSU3kJPedAvx8a5Sbi62m,0.664,0.198,-14.799000000000001,0.0448,0.846,0.956,0.18899999999999997,150.13299999999998,2
18,Day Drifting,Teo,spotify:track:55LliCM5kkioTHHFFgkVAd,0.6709999999999999,0.435,-11.134,0.0453,0.852,0.515,0.0869,75.002,13
19,Wood Berry,Cosmonkey,spotify:track:0xPzTIrpPSn29lJp6XFo9W,0.539,0.32,-12.432,0.153,0.9009999999999999,0.9229999999999999,0.5920000000000001,83.35600000000001,13
20,Feels,Chill Beats Music,spotify:track:4Vekrmrj2S8ZrUlxbVMmsR,0.525,0.11,-19.123,0.0701,0.738,0.937,0.34600000000000003,107.99799999999999,2
21,Benches,No Spirit,spotify:track:4vEx4TerGNnyjGR60gzXYI,0.402,0.2,-10.947000000000001,0.0853,0.759,0.9009999999999999,0.507,168.562,2
