,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
0,Kiddish,Refeeld,spotify:track:3aJGP2lJwgsCduog1jmGuE,0.56,0.166,-16.252,0.0463,0.982,0.91,0.184,172.076
1,Oxygen,Twotrees,spotify:track:1TQWP9HwvLp516cBWqtEyx,0.698,0.227,-16.068,0.0529,0.439,0.563,0.0643,82.942
2,Overseas,Saï T,spotify:track:0FDlU2i5VMYhSNKy7WNYau,0.645,0.506,-11.213,0.0433,0.59,0.796,0.333,84.993
3,Grandma's Radio,Bequem,spotify:track:6QeOUYs8lkF3jIqhiuPkqc,0.732,0.307,-11.781,0.208,0.259,0.895,0.316,170.048
4,Longing For,damaa.beats,spotify:track:5pRqyaTUGcdrwcvWualdHn,0.519,0.233,-10.873,0.0435,0.876,0.708,0.187,118.923
5,Expedition,LostiFi,spotify:track:5az0lrIHg8WDWP547g1gNw,0.675,0.306,-10.582,0.098,0.268,0.901,0.46,159.953
6,Moonflower,Shierro,spotify:track:1F5wcnZz4GRqWUm6dzrFnp,0.637,0.377,-11.37,0.0406,0.573,0.814,0.0923,69.986
7,Foggy Day,Zmeyev,spotify:track:58OKPDQD0TnDb0Od3dbGHa,0.658,0.401,-12.214,0.157,0.881,0.675,0.512,80.0
8,Coast to Coast,Jay-Lounge,spotify:track:6nHVIXSGuHzknmQOuUsnj9,0.66,0.392,-11.172,0.0639,0.396,0.792,0.159,158.023
9,Marauders,Nogymx,spotify:track:5I34ZsFsE9zTkdHjTnRyYA,0.814,0.376,-16.785,0.0694,0.823,0.733,0.829,127.988
10,Mountain Café,l'Outlander,spotify:track:2OJdqZqdntPaA6QQgxDO7c,0.646,0.321,-12.868,0.0784,0.796,0.54,0.299,179.861
11,Evening Roses,Hoogway,spotify:track:5bBFLCMyiw4Q4TGl4t814p,0.669,0.0289,-20.939,0.0467,0.829,0.944,0.128,120.103
12,Just Chillin',Downtown Owl,spotify:track:7oxalydBrUM3znIiTM5P9R,0.748,0.426,-10.343,0.265,0.103,0.782,0.442,165.979
13,opium poppy,Sátyr,spotify:track:4shSkWNpPgYetDVQosQugZ,0.603,0.319,-7.752,0.0597,0.193,0.0107,0.519,84.801
14,"With Her, Without Her",Last Memories,spotify:track:0yaBYaPzDqEvN0bYJzxnG8,0.761,0.29,-13.729,0.0359,0.475,0.557,0.517,80.016
15,Warm Breeze,Screen Jazzmaster,spotify:track:5728OBye3peeIkv9qlps0H,0.729,0.42,-9.439,0.209,0.765,0.515,0.449,160.11
16,Blame It on Me,RenBoz,spotify:track:5dPdFjWBCaIEdwzItjqNeW,0.723,0.386,-10.327,0.0431,0.124,0.897,0.256,148.009
17,Cosmic Web,Purrple Cat,spotify:track:7FSU3kJPedAvx8a5Sbi62m,0.664,0.198,-14.799,0.0448,0.846,0.956,0.189,150.133
18,Day Drifting,Teo,spotify:track:55LliCM5kkioTHHFFgkVAd,0.671,0.435,-11.134,0.0453,0.852,0.515,0.0869,75.002
19,Wood Berry,Cosmonkey,spotify:track:0xPzTIrpPSn29lJp6XFo9W,0.539,0.32,-12.432,0.153,0.901,0.923,0.592,83.356
20,Feels,Chill Beats Music,spotify:track:4Vekrmrj2S8ZrUlxbVMmsR,0.525,0.11,-19.123,0.0701,0.738,0.937,0.346,107.998
21,Benches,No Spirit,spotify:track:4vEx4TerGNnyjGR60gzXYI,0.402,0.2,-10.947,0.0853,0.759,0.901,0.507,168.562
22,Beyond My Sight,H.1,spotify:track:7tT00DTuukaojjAAxmrjqv,0.31,0.231,-17.73,0.043,0.477,0.682,0.0757,83.304
23,Feelings,Chill Beats Music,spotify:track:3CvG7729hBSNpP3S9epNtU,0.622,0.458,-11.642,0.0309,0.613,0.886,0.334,76.98
24,When Summer Comes,namzzo,spotify:track:2gzdFP67lkzpdSmLKg5R7C,0.749,0.248,-14.823,0.0522,0.612,0.854,0.0905,90.025
25,Icyayi,Chill Beats Music,spotify:track:2ycutnKbnAJHVKQ3cNMamQ,0.793,0.646,-8.225,0.0463,0.387,0.744,0.494,144.016
26,Waking up Early,Tibeauthetraveler,spotify:track:3lxbyzX36Lrkl99xkwXzm1,0.769,0.239,-10.053,0.0401,0.67,0.748,0.0702,115.006
27,Romeo's Interlude,Woodville,spotify:track:0y8QbNzjsCMYbPxSoSU8QV,0.763,0.304,-11.62,0.178,0.418,0.914,0.221,90.989
28,Where Were You,softy,spotify:track:6DAM6X44F0ghkVJ3LCwy0z,0.613,0.366,-11.893,0.0381,0.988,0.741,0.146,144.061
29,Road Is Mine,Project AER,spotify:track:7JLotSAhXp3wGI0vOwYjzM,0.631,0.282,-16.075,0.0958,0.711,0.868,0.241,177.954
30,Palm Sways,Loafy Building,spotify:track:34yGHmCajATZleHXZ6xyFn,0.594,0.107,-18.681,0.0639,0.393,0.771,0.183,74.946
31,Morning in Tbilisi,Screen Jazzmaster,spotify:track:0eUyvXi1OHuJxikJau7tiw,0.757,0.49,-8.783,0.0469,0.776,0.859,0.444,90.01
