,song,artist,urls
0,Oxygen,Twotrees,https://open.spotify.com/track/1TQWP9HwvLp516cBWqtEyx
1,Kiddish,Refeeld,https://open.spotify.com/track/3aJGP2lJwgsCduog1jmGuE
2,Overseas,Saï T,https://open.spotify.com/track/0FDlU2i5VMYhSNKy7WNYau
3,Grandma's Radio,Bequem,https://open.spotify.com/track/6QeOUYs8lkF3jIqhiuPkqc
4,Longing For,damaa.beats,https://open.spotify.com/track/5pRqyaTUGcdrwcvWualdHn
5,Expedition,LostiFi,https://open.spotify.com/track/5az0lrIHg8WDWP547g1gNw
6,Moonflower,Shierro,https://open.spotify.com/track/1F5wcnZz4GRqWUm6dzrFnp
7,Foggy Day,Zmeyev,https://open.spotify.com/track/58OKPDQD0TnDb0Od3dbGHa
8,Coast to Coast,Jay-Lounge,https://open.spotify.com/track/6nHVIXSGuHzknmQOuUsnj9
9,Marauders,Nogymx,https://open.spotify.com/track/5I34ZsFsE9zTkdHjTnRyYA
10,Mountain Café,l'Outlander,https://open.spotify.com/track/2OJdqZqdntPaA6QQgxDO7c
11,Evening Roses,Hoogway,https://open.spotify.com/track/5bBFLCMyiw4Q4TGl4t814p
12,Just Chillin',Downtown Owl,https://open.spotify.com/track/7oxalydBrUM3znIiTM5P9R
13,opium poppy,Sátyr,https://open.spotify.com/track/4shSkWNpPgYetDVQosQugZ
14,"With Her, Without Her",Last Memories,https://open.spotify.com/track/0yaBYaPzDqEvN0bYJzxnG8
15,Warm Breeze,Screen Jazzmaster,https://open.spotify.com/track/5728OBye3peeIkv9qlps0H
16,Blame It on Me,RenBoz,https://open.spotify.com/track/5dPdFjWBCaIEdwzItjqNeW
17,Cosmic Web,Purrple Cat,https://open.spotify.com/track/7FSU3kJPedAvx8a5Sbi62m
18,Day Drifting,Teo,https://open.spotify.com/track/55LliCM5kkioTHHFFgkVAd
19,Wood Berry,Cosmonkey,https://open.spotify.com/track/0xPzTIrpPSn29lJp6XFo9W
20,Feels,Chill Beats Music,https://open.spotify.com/track/4Vekrmrj2S8ZrUlxbVMmsR
21,Benches,No Spirit,https://open.spotify.com/track/4vEx4TerGNnyjGR60gzXYI
22,Beyond My Sight,H.1,https://open.spotify.com/track/7tT00DTuukaojjAAxmrjqv
23,Feelings,Chill Beats Music,https://open.spotify.com/track/3CvG7729hBSNpP3S9epNtU
24,When Summer Comes,namzzo,https://open.spotify.com/track/2gzdFP67lkzpdSmLKg5R7C
25,Icyayi,Chill Beats Music,https://open.spotify.com/track/2ycutnKbnAJHVKQ3cNMamQ
26,Waking up Early,Tibeauthetraveler,https://open.spotify.com/track/3lxbyzX36Lrkl99xkwXzm1
27,Romeo's Interlude,Woodville,https://open.spotify.com/track/0y8QbNzjsCMYbPxSoSU8QV
28,Where Were You,softy,https://open.spotify.com/track/6DAM6X44F0ghkVJ3LCwy0z
29,Road Is Mine,Project AER,https://open.spotify.com/track/7JLotSAhXp3wGI0vOwYjzM
30,Palm Sways,Loafy Building,https://open.spotify.com/track/34yGHmCajATZleHXZ6xyFn
31,Morning in Tbilisi,Screen Jazzmaster,https://open.spotify.com/track/0eUyvXi1OHuJxikJau7tiw
32,rue des rosiers,l'Outlander,https://open.spotify.com/track/4u6HB2WGajSD5tqgJU1ibB
33,It's All Different Now,vhsgus,https://open.spotify.com/track/40WiGkZKPR9kFpMIC0qSiQ
34,Pointless,Enluv,https://open.spotify.com/track/3p7XtEhSqQuRaZtTtsxsNI
